agency_asymmetry,passive_voice_rate,violence_asymmetry,uncertainty_score,negation_rate,competence_asymmetry,morality_asymmetry,dehumanization_index,ingroup_outgroup_ratio,label,source,theater,chunk_sentiment,toxicity_score,mft_care_p,mft_fairness_p,mft_loyalty_p,mft_authority_p,mft_sanctity_p,mft_care_sent,mft_fairness_sent,mft_loyalty_sent,mft_authority_sent,mft_sanctity_sent,prediction,confidence
0.0,0.0,0.0,0.0163690476190476,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5325282216072083,0.026,0.1003677535495067,0.1395144415713398,0.1305747590764119,0.1216230134547232,0.0838578994920055,-0.1610575714285714,-0.1218910648148148,-0.1083755775335775,-0.0859708484848484,-0.0833229444444444,0,0.8561181592233095
0.0,0.0,0.0,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.6247375011444092,0.002,0.083422282783805,0.0955686017965413,0.0813936500501947,0.0805620549712391,0.0784768471475753,-0.0835523488722493,-0.0095951055246998,0.0268775022650914,-0.0094341164474806,-0.0298113871733284,0,0.8194095555519699
1.0,0.0,0.0,0.0069264069264069,0.0,0.0,0.0,0.0,9.0,0,kpru,RU_UK,-0.6483072638511658,0.005,0.1341818556157582,0.1071299417640695,0.1043612123601293,0.1173909434030568,0.0823423659138671,-0.1248275610071219,-0.1269218895219507,-0.046696079915118,-0.1061154509181093,-0.1937557644027791,0,0.8954767859372217
1.0,0.0,0.0,0.0015384615384615,0.0,0.0,0.0,0.0,16.0,0,kpru,RU_UK,-0.5743814706802368,0.002,0.1272995334151901,0.1125901893387846,0.1005097475282562,0.1063810332805656,0.1041040201547565,-0.2447072633908102,-0.2037627993568482,-0.2094457597716641,-0.1601161167449756,-0.2419014025943852,0,0.9011576402935583
0.0,0.0,0.0,0.0064102564102564,0.5,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.7357194423675537,0.001,0.1401794052074136,0.1068819791889899,0.0985391789476402,0.0891397715560561,0.0875680937040463,-0.1428513857161767,-0.0916347738340377,-0.0301940115885962,-0.0936068608090334,-0.0940832954104718,0,0.8560110776762393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,kpru,RU_UK,-0.8825638890266418,0.001,0.1085045942427185,0.0961903606310827,0.0884317712427555,0.1097548073161072,0.0891040682585971,-0.1596567837422606,-0.1412476710946958,-0.0554708513488096,-0.092613706002145,-0.118575214698385,1,0.5541148245649776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5752565860748291,0.001,0.1056679694277051,0.0933717719195565,0.0828093586039147,0.1007719896090683,0.0727373135201823,-0.0427586928219038,0.0166055918683856,-0.0061409910445785,0.0085700149210541,-0.0654879618888511,0,0.5025448734481243
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5060972571372986,0.032,0.0966977433100537,0.1040816739120468,0.0878808815909666,0.0956184511001391,0.0908903996136568,-0.0487843148265875,-0.0999912879569813,-0.0252477992488407,-0.0579654389185859,-0.0934224961486086,0,0.8403524938850231
0.0,0.0,0.0,0.0042016806722689,0.0,0.0,0.0,0.0,1.5,0,kpru,RU_UK,-0.4971856772899627,0.011,0.0952568008643282,0.11814919653727,0.0927501262509059,0.0872192388232672,0.0861710084762301,-0.0677205543055643,-0.0921106179230507,-0.0165253960960128,-0.0164612594407037,-0.063578401857362,0,0.8150535827702237
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,kpru,RU_UK,-0.7880845069885254,0.003,0.1288345603513966,0.1308412608767429,0.1149128854001573,0.1071173280847086,0.1033404352545559,-0.0815337706039562,-0.0516451148002831,-0.0305104084902625,-0.0538601041693864,-0.0397719906869538,0,0.881401707725187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0,kpru,RU_UK,-0.7243927121162415,0.333,0.1041249091447419,0.1096181579703786,0.0839530065854563,0.0881957542768085,0.0798457261020605,0.0012332685988034,0.0055254693685716,0.063032008323425,0.082919577071103,-0.0027952553886839,0,0.8640950856216834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0,kpru,RU_UK,-0.8098294734954834,0.001,0.1134973484555794,0.1168430767756601,0.1117672184823187,0.1062030439845672,0.1161474338167645,-0.0798820064432984,-0.0078282037630613,0.0032617123016144,-0.0494017989192064,-0.1048476181142849,1,0.8251333127701611
0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.6919785737991333,0.012,0.1026155735696511,0.1348309182798967,0.0985873588647253,0.1048108991111002,0.1029422047951302,-0.0474929943860744,-0.0561358374785881,-0.0099798840615561,-0.0132928023526626,-0.0543822532211767,0,0.8345700880177982
0.0,0.0,0.0,0.0022222222222222,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.7131273150444031,0.001,0.0977624038779971,0.1076199001335329,0.0890427372836249,0.0893984322553179,0.0829395687091408,-0.0202498414264881,0.0363660387750749,0.0335263212809934,0.0111913250136152,0.0356630757160956,0,0.6431646033679802
0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.4897642731666565,0.001,0.1043374967943442,0.093067721334116,0.1085777947645468,0.1064100946051609,0.0796543287084086,-0.0851423687919466,-0.0287117061496966,0.0515082245998179,-0.0326573241991604,-0.0056494231561035,0,0.8428744238060715
0.0,0.0,0.0,0.007002457002457,0.2,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.8419710397720337,0.032,0.0885467198781678,0.0894991674722428,0.0835827226793665,0.0997479494061412,0.0850446212322028,-0.0347834274108738,0.0125584117087521,0.0368040156224977,-0.0166535319376418,-0.0450445286945171,0,0.8992568312009551
0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.7259584665298462,0.003,0.0918394771345177,0.0908557632339441,0.0945476816439157,0.0951498428389963,0.0854728076291324,-0.0092296456314809,-0.0719262991980597,-0.0157340269200113,-0.0266920954126131,-0.0775977997138688,0,0.8182741760309582
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.6699142456054688,0.001,0.1043685459203966,0.1111175446319393,0.0938183599570131,0.0979317598108735,0.0851973690818587,-0.0277909759209563,-0.0510000339353048,-0.0645276255339333,-0.064038953498318,1.4101220985888311e-05,0,0.833051650977554
0.0,0.0,0.0,0.0,0.0,1.3959331512451172,0.3986319899559021,0.0,1.5,0,kpru,RU_UK,-0.8665297627449036,0.001,0.1187505685834948,0.0934807772560733,0.0758054148622553,0.098910710607709,0.0783028321323866,-0.1503833846486116,-0.1083228703601547,-0.089346793279786,-0.1328174553602354,-0.1340336986983619,0,0.6263521038258777
0.0,0.0,0.0,0.0328328328328328,1.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.5606709122657776,0.006,0.1245865394913007,0.1268465798428528,0.1040832646569503,0.1092949633284553,0.1112072193719849,-0.2519320659417877,-0.1131817507707116,-0.1118681635708443,-0.1807798583541116,-0.1130340053063894,0,0.7092172198993772
0.5,0.0,0.0,0.0016891891891891,0.0,0.0,0.0,0.0,4.5,0,kpru,RU_UK,-0.8099154233932495,0.002,0.1177543638645611,0.1018344470238184,0.0961393503514162,0.1009314932580055,0.1025597769749027,-0.1949104515149674,-0.1514398824227987,-0.0621609174869301,-0.1137337075954055,-0.1159753423805685,0,0.9034023218991283
0.0,0.0,0.0,0.006345785440613,0.0,0.0,0.0,0.0,1.6666666666666667,0,kpru,RU_UK,-0.8749032020568848,0.001,0.1132639149281791,0.1051841799282605,0.0939442102261494,0.102561267628448,0.1020324522330894,-0.17407557716898,-0.1819384034938983,-0.0782655021252735,-0.1563643305661348,-0.2134541760198809,1,0.6479613564355964
0.0,0.0,0.0,0.0081168831168831,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.6772754192352295,0.001,0.107751537652904,0.107999170895456,0.085319039455114,0.0950796049987581,0.0816551100485435,-0.0389865785889259,0.0257797875066169,0.033656441574572,0.0240370093153282,0.0117963861527801,0,0.6783426637837181
0.0,0.0,0.0,0.0025252525252525,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.6413030028343201,0.025,0.0885753739870522,0.0904665161460556,0.0899717169101046,0.0648808483880252,0.0689683589436331,-0.1323931184281313,-0.0610976687849985,-0.1000592127357946,-0.0452975025119389,-0.0867596989565157,0,0.9397467756185724
0.75,0.0,0.0,0.0050770308123249,0.0,0.0,0.0,0.0,22.0,0,kpru,RU_UK,-0.5146763920783997,0.001,0.1235518068197355,0.0759632808467504,0.1249858380357794,0.0793693715666817,0.1259098993269312,-0.1355647613530958,-0.2194478135674767,0.0717471983170656,-0.136678727903742,-0.2000992013499234,0,0.7764572702771401
0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.8365368247032166,0.005,0.1738670586200279,0.1060921552925821,0.0984584599783208,0.0983088438343535,0.1047967135615246,-0.2382263042394925,-0.1517350453459467,-0.1462050752474246,-0.16543160713124,-0.1817828457492254,0,0.7537479986203484
0.0,0.0,0.0,0.0074780058651026,0.6666666666666666,0.0,0.0,0.0,1.0,0,kpru,RU_UK,-0.5177197456359863,0.001,0.075585705359823,0.074806667519384,0.0882503031520775,0.0621418107802089,0.0545541572162505,-0.0806149882418846,-0.0257418597989525,-0.0335799689478568,-0.0421192232433401,0.0098888596191755,0,0.822080257313715
0.0,0.0,0.0,0.0025252525252525,0.5,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.826103150844574,0.001,0.0709279729421947,0.0761862574641863,0.0935808065627464,0.0867273598663574,0.057596089125794,-0.0841873358323947,-0.0144794398486702,0.0479533578848504,0.008149852329331,0.0449669838028007,0,0.9051233435856648
