agency_asymmetry,passive_voice_rate,violence_asymmetry,uncertainty_score,negation_rate,competence_asymmetry,morality_asymmetry,dehumanization_index,ingroup_outgroup_ratio,label,source,theater,chunk_sentiment,toxicity_score,mft_care_p,mft_fairness_p,mft_loyalty_p,mft_authority_p,mft_sanctity_p,mft_care_sent,mft_fairness_sent,mft_loyalty_sent,mft_authority_sent,mft_sanctity_sent
0.0,0.0,0.0,0.01636904761904762,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5325282216072083,0.026,0.10036775354950672,0.13951444157133988,0.13057475907641194,0.12162301345472323,0.08385789949200555,-0.1610575714285714,-0.1218910648148148,-0.10837557753357753,-0.08597084848484848,-0.08332294444444445
0.0,0.0,0.0,0.01111111111111111,0.0,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.6247375011444092,0.002,0.08342228278380508,0.0955686017965413,0.08139365005019471,0.08056205497123912,0.07847684714757533,-0.08355234887224931,-0.009595105524699834,0.02687750226509142,-0.00943411644748066,-0.029811387173328437
1.0,0.0,0.0,0.006926406926406926,0.0,0.0,0.0,0.0,9.0,0,kpru,RU_UK,-0.6483072638511658,0.005,0.13418185561575824,0.10712994176406954,0.10436121236012937,0.11739094340305681,0.08234236591386719,-0.12482756100712197,-0.12692188952195071,-0.046696079915118024,-0.10611545091810935,-0.19375576440277914
1.0,0.0,0.0,0.0015384615384615385,0.0,0.0,0.0,0.0,16.0,0,kpru,RU_UK,-0.5743814706802368,0.002,0.1272995334151901,0.1125901893387846,0.10050974752825625,0.10638103328056565,0.10410402015475655,-0.2447072633908102,-0.20376279935684827,-0.2094457597716641,-0.16011611674497564,-0.24190140259438525
0.0,0.0,0.0,0.006410256410256411,0.5,0.0,0.0,0.0,0.0,0,kpru,RU_UK,-0.7357194423675537,0.001,0.14017940520741365,0.10688197918898999,0.09853917894764029,0.08913977155605618,0.08756809370404632,-0.1428513857161767,-0.09163477383403773,-0.030194011588596227,-0.09360686080903348,-0.09408329541047185
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,kpru,RU_UK,-0.8825638890266418,0.001,0.10850459424271859,0.09619036063108277,0.08843177124275556,0.10975480731610725,0.08910406825859712,-0.15965678374226067,-0.14124767109469585,-0.05547085134880969,-0.09261370600214501,-0.11857521469838508
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5752565860748291,0.001,0.10566796942770515,0.09337177191955656,0.08280935860391479,0.1007719896090683,0.07273731352018234,-0.042758692821903845,0.016605591868385648,-0.006140991044578507,0.008570014921054105,-0.06548796188885112
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,kpru,RU_UK,-0.5060972571372986,0.032,0.09669774331005376,0.10408167391204684,0.08788088159096664,0.09561845110013917,0.09089039961365689,-0.048784314826587565,-0.09999128795698137,-0.025247799248840783,-0.0579654389185859,-0.09342249614860866
0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,1.5,0,kpru,RU_UK,-0.49718567728996277,0.011,0.09525680086432824,0.11814919653727006,0.0927501262509059,0.08721923882326729,0.08617100847623012,-0.06772055430556431,-0.0921106179230507,-0.01652539609601288,-0.016461259440703722,-0.06357840185736204
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,kpru,RU_UK,-0.7880845069885254,0.003,0.12883456035139668,0.13084126087674292,0.11491288540015734,0.10711732808470861,0.10334043525455593,-0.08153377060395621,-0.05164511480028315,-0.030510408490262514,-0.05386010416938649,-0.03977199068695386
