entity,Centrality_Pivot,Hub_Score,Authority_Score,Sentiment_Agency,Label
gaza,0.23060852886638572,0.04323711163679365,0.14494887577966636,0.4458557800813155,PAL_RESISTANCE
pa,0.6696208783513694,0.071827145030112,0.36766869021747833,0.1067247897386551,PAL_POLITICAL
hamas,0.27947629026549303,0.07412093064861333,0.09424897692543487,0.109519362449646,PAL_ORG
israel,0.4393353842566298,0.5381877553400779,0.07026185810926577,-0.208235728163873,ISR_POLITICAL
un,0.4105727404589826,0.09800621912173613,0.1695093904328271,0.0011142911734404388,INTL_ACTORS
idf,0.028367719371848413,0.018051983451470698,0.01958121371088734,-0.031926944851875305,ISR_MILITARY
usa,0.2166458082874095,0.14247054219204286,0.06724043009102776,0.07265960133594015,INTL_ACTORS
netanyahu,0.0999724276231944,0.01409831257915341,0.041775758295846274,-0.073440682888031,ISR_POLITICAL
palestine,0.028367719371848413,-0.0,0.01958121371088734,0.0,PAL_POLITICAL
civilians,0.013988790635370122,-0.0,0.00518359272667874,0.7785546779632568,CIVILIANS
